DXEX v5
C:\Data\LDA\Charlie_2017\Run8_x400_fl_4hz_300secs\Run8_x400_fl_4hz_300secs.lda
14:38:11
2;400.0000 mm;0.0000 mm;15.0000 mm
Region1
"Row#"	"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1	43.455	634.9	0.09045	-0.01301
2	54.842	1037.7	0.09299	-0.01221
3	70.489	2382.5	0.09215	-0.01067
4	97.222	512.0	0.09135	-0.00311
5	97.795	225.3	0.08907	-0.00254
6	98.533	976.2	0.09020	-0.00544
7	129.362	382.3	0.08686	0.00173
8	134.823	1556.5	0.08759	0.00066
9	190.556	1310.7	0.08006	-0.00127
10	191.921	669.0	0.08307	-0.00175
11	240.445	143.4	0.08926	-0.00533
12	245.524	1501.9	0.09617	-0.00863
13	271.357	1228.8	0.09896	-0.00514
14	278.238	805.5	0.09152	-0.00478
15	327.253	826.0	0.09762	-0.00588
16	387.055	948.9	0.09918	-0.00562
17	404.531	662.2	0.10070	-0.00247
18	461.930	464.2	0.10118	0.00109
19	468.401	812.4	0.10340	-0.00122
20	472.771	587.1	0.09951	-0.00166
21	475.556	1044.5	0.10027	-0.00216
22	510.426	1577.0	0.09984	0.00096
23	545.488	573.4	0.09724	0.00132
24	546.362	662.2	0.09710	-0.00399
25	547.673	969.4	0.09644	-0.00277
26	628.965	1549.7	0.09753	-0.00695
27	656.572	587.1	0.10331	-0.00557
28	697.040	436.9	0.10039	-0.00199
29	705.423	1583.8	0.09777	-0.00184
30	724.675	969.4	0.09416	-0.00367
31	757.088	696.3	0.09479	-0.00041
32	803.345	1413.1	0.09184	-0.00143
33	812.302	1146.9	0.09067	-0.00053
34	829.532	928.4	0.09035	-0.00046
35	929.229	1269.8	0.09893	-0.00077
36	938.568	1187.8	0.10061	-0.00167
37	942.473	1283.4	0.09991	-0.00151
38	947.306	675.8	0.10110	-0.00121
39	967.021	1351.7	0.10297	-0.00056
40	975.814	1419.9	0.09975	0.00022
41	983.078	1017.2	0.10244	-0.00082
42	1011.176	1706.7	0.10166	0.00249
43	1021.716	757.8	0.10286	0.00110
44	1056.860	1140.1	0.10427	0.00043
45	1070.896	744.1	0.10214	-0.00016
46	1076.521	1003.5	0.10305	-0.00184
47	1088.509	498.3	0.10018	-0.00572
48	1097.738	1085.4	0.10407	-0.00273
49	1104.647	819.2	0.10144	-0.00372
