DXEX v5
C:\Data\LDA\Charlie_2017\Run8_x400_fl_4hz_300secs\Run8_x400_fl_4hz_300secs.lda
14:33:06
1;400.0000 mm;0.0000 mm;1.0000 mm
Region1
"Row#"	"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1	494.234	7427.4	0.01279	0.00074
2	514.140	5481.8	0.01213	0.00089
3	599.828	5550.1	0.01280	0.00033
4	779.343	9707.5	0.01214	0.00007
5	1293.090	4307.6	0.02805	0.00077
6	1390.520	2566.8	0.02450	0.00009
7	1520.063	2710.2	0.02117	0.00026
8	1543.547	1501.9	0.02021	-0.00007
9	1780.787	4696.7	0.01453	0.00087
10	1835.947	1891.0	0.01568	0.00019
11	1909.074	3843.4	0.01457	-0.00116
12	1969.012	846.5	0.03207	-0.00152
13	2070.047	1829.5	0.03066	-0.00007
14	2168.378	2566.8	0.03554	-0.00045
15	2204.450	1269.8	0.03576	-0.00029
16	2205.460	648.5	0.03413	-0.00206
17	2231.402	2191.4	0.03310	-0.00076
18	2298.713	5270.2	0.02623	0.00044
19	2324.736	2170.9	0.02801	0.00013
20	2414.329	4198.4	0.02335	0.00083
21	2427.436	3085.7	0.02749	-0.00028
22	2454.224	2478.1	0.02827	0.00004
23	2541.387	3037.9	0.02524	-0.00066
24	2547.203	375.5	0.02820	0.00037
25	2630.653	1262.9	0.02633	-0.00143
26	2740.234	983.0	0.02874	-0.00151
27	2741.736	1774.9	0.02710	-0.00090
28	2992.329	2286.9	0.04060	-0.00184
29	3039.515	1385.8	0.04035	-0.00158
30	3159.665	593.9	0.03673	-0.00214
31	3161.631	3065.2	0.03221	-0.00105
32	3198.140	2286.9	0.03646	-0.00089
33	3234.103	3741.0	0.04240	-0.00095
34	3287.733	2778.5	0.03308	0.00117
35	3334.072	1324.4	0.05165	-0.00053
36	3349.036	2792.1	0.05312	0.00017
37	3366.786	1959.3	0.05785	-0.00562
38	3371.482	894.3	0.05661	-0.00102
39	3429.100	1071.8	0.05427	-0.00406
40	3446.303	873.8	0.05348	-0.00290
41	3518.447	1529.2	0.03876	-0.00111
42	3534.667	1467.7	0.04863	-0.00255
43	3599.548	948.9	0.04379	-0.00240
44	3667.159	860.2	0.04371	-0.00041
45	3701.593	2648.7	0.04134	-0.00116
46	3732.777	1665.7	0.03465	-0.00087
47	3757.872	3263.1	0.03342	-0.00070
48	3790.312	1474.6	0.03774	-0.00034
49	3799.487	2546.3	0.03667	-0.00059
50	3897.818	2266.5	0.03931	0.00009
51	3922.558	2430.3	0.04560	-0.00112
52	4024.467	2184.5	0.03375	0.00045
53	4109.117	2928.6	0.04685	-0.00050
54	4124.846	1713.5	0.04613	-0.00083
55	4140.465	2730.7	0.04600	-0.00060
56	4162.993	1638.4	0.04949	-0.00083
57	4258.703	983.0	0.04346	-0.00089
58	4271.401	1836.4	0.04542	-0.00125
59	4284.809	3543.0	0.04437	-0.00111
60	4316.075	2792.1	0.04208	-0.00053
61	4441.713	1774.9	0.04499	-0.00144
62	4444.034	1508.7	0.04000	-0.00225
63	4501.132	1686.2	0.04113	-0.00157
64	4511.235	3392.9	0.04344	-0.00139
65	4513.748	1460.9	0.02982	-0.00033
66	4647.632	1536.0	0.03782	0.00024
67	4693.644	2532.7	0.03149	-0.00065
68	4706.232	2048.0	0.03707	-0.00026
69	4728.678	5358.9	0.03673	-0.00032
70	4768.573	3249.5	0.03190	-0.00026
