DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:33:55
1;400.0000 mm;0.0000 mm;-0.5000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
568.262	8656.2	0.02976	0.00003
1006.370	1938.8	0.05672	-0.00010
1035.725	55698.8	0.08154	-0.00006
1277.088	25763.8	0.09095	0.00027
1359.500	846.5	0.12472	0.00700
1368.620	1399.5	0.10607	0.00022
1399.122	798.7	0.16075	0.00044
1621.753	2157.2	0.01308	0.00005
1985.505	4300.8	0.15954	-0.00010
2049.840	935.3	0.06206	0.00060
2311.520	382.3	0.02157	-0.00046
2328.477	634.9	0.11975	-0.00100
2332.382	238.9	0.01156	-0.00012
2346.718	163.8	0.01897	-0.00036
2350.513	1372.2	0.11074	-0.00033
2511.787	1611.1	0.06054	0.00173
2617.709	163.8	0.01270	-0.00052
2638.326	791.9	0.16313	0.00092
2695.124	593.9	0.12315	0.00021
2696.025	136.5	0.01923	0.00020
2699.329	628.1	0.14301	0.00039
2702.169	484.7	0.14097	-0.00125
2704.026	191.1	0.01398	-0.00176
2709.023	198.0	0.16551	-0.00014
2714.211	136.5	0.01040	-0.00067
2716.041	361.8	0.12278	-0.00072
2887.909	962.6	0.00873	-0.00046
2923.599	1153.7	0.00773	0.00012
2940.638	1085.4	0.00793	0.00021
2971.412	198.0	0.00828	0.00045
3022.394	327.7	0.01263	0.00012
3127.770	3037.9	0.10219	-0.00029
3180.035	1215.1	0.11689	0.00028
3505.094	1310.7	0.08096	0.00016
3510.992	689.5	0.12812	-0.00023
3526.448	170.7	0.00920	-0.00058
3530.571	1105.9	0.09291	-0.00060
3588.215	1447.3	0.08530	-0.00017
3603.343	1652.1	0.07247	0.00002
3975.124	1003.5	0.08668	0.00045
4016.439	5174.6	0.00833	-0.00026
4141.913	8116.9	0.08096	0.00034
4591.408	2348.4	0.05624	0.00048
4593.838	737.3	0.11897	-0.00021
4792.849	320.9	0.00940	0.00064
4839.926	6232.7	0.05129	0.00031
4945.439	218.5	0.00815	0.00061
5499.791	2191.4	0.04509	-0.00016
5752.269	948.9	0.12333	0.00007
5757.075	136.5	0.45995	0.00109
5767.806	1617.9	0.06453	0.00001
5923.072	116.1	0.40706	0.00011
5932.657	327.7	0.10469	0.00085
5944.999	1986.6	0.11246	0.00020
6139.805	2894.5	0.06957	-0.00158
6273.335	1652.1	0.09905	0.00006
6374.260	1092.3	0.14643	0.00066
6464.017	8519.7	0.11441	-0.00007
6502.683	1344.9	0.05381	-0.00047
6870.859	498.3	0.01545	-0.00026
7173.745	430.1	0.00779	0.00093
7245.233	791.9	0.08804	0.00056
7266.587	491.5	0.16841	0.00077
7325.952	300.4	0.00782	0.00037
7376.060	894.3	0.01368	0.00029
7380.975	559.8	0.04763	0.00033
7403.230	3058.3	0.04952	-0.00019
7420.870	157.0	0.47509	0.00028
7452.737	238.9	0.00879	-0.00027
7474.937	245.8	0.00925	-0.00095
7621.902	395.9	0.01078	-0.00074
7622.175	232.1	0.01044	-0.00009
7743.635	293.5	0.02787	-0.00149
7745.355	1392.6	0.06991	0.00019
7820.640	901.1	0.03819	0.00044
7821.650	976.2	0.03690	0.00044
7854.336	737.3	0.05991	-0.00056
7866.160	955.7	0.01731	0.00030
7871.921	1501.9	0.06043	0.00010
7903.515	1515.5	0.08049	-0.00017
7923.258	327.7	0.01683	-0.00001
7924.651	382.3	0.08747	0.00008
7991.443	157.0	0.01116	-0.00026
7991.716	252.6	0.00765	0.00072
8012.087	1426.8	0.07055	0.00058
8163.884	163.8	0.01183	-0.00091
8213.528	1904.6	0.07303	0.00036
8216.832	1604.3	0.06013	0.00034
8224.560	1010.3	0.06860	-0.00034
8229.338	655.4	0.04799	-0.00004
8274.558	1153.7	0.05781	-0.00003
8308.009	443.7	0.14450	0.00053
8324.994	191.1	0.00914	-0.00003
8350.689	1856.9	0.07861	0.00329
8353.556	136.5	0.01142	-0.00077
8489.981	1795.4	0.07377	0.00001
8509.314	225.3	0.01114	-0.00018
8588.558	1256.1	0.08480	-0.00002
8597.733	1201.5	0.09176	0.00013
8607.454	614.4	0.14442	0.00708
8610.103	218.5	0.18282	0.00018
8645.246	2109.4	0.10551	-0.00040
8683.366	730.5	0.10367	0.00137
8689.975	1283.4	0.09153	0.00009
8707.779	785.1	0.06799	0.00209
8728.204	341.3	0.04595	-0.00092
8771.622	1119.6	0.09418	0.00001
8783.336	2703.4	0.04889	0.00021
8887.265	1638.4	0.06288	0.00055
8900.372	1385.8	0.07422	-0.00022
8973.008	1474.6	0.05211	0.00018
8979.152	157.0	0.00785	-0.00131
9077.866	238.9	0.00950	-0.00015
9134.281	1099.1	0.11820	0.00025
9142.828	348.2	0.00864	0.00027
9149.519	163.8	0.01088	0.00037
9149.983	204.8	0.00883	0.00037
9160.195	983.0	0.09552	-0.00025
9259.046	1365.3	0.04538	0.00010
9277.833	969.4	0.07179	-0.00090
9318.984	1918.3	0.07591	0.00002
9330.234	1146.9	0.09916	-0.00012
9345.417	143.4	0.01173	0.00020
9347.820	1938.8	0.08389	0.00090
9366.825	1140.1	0.09835	-0.00055
9391.783	211.6	0.00828	-0.00013
9393.312	198.0	0.01488	0.00065
9394.077	198.0	0.01129	0.00043
9394.350	184.3	0.00974	0.00043
9395.606	1201.5	0.09553	-0.00123
9631.563	1679.4	0.07030	0.00010
9782.460	1003.5	0.06712	-0.00088
9789.532	1228.8	0.00821	0.00034
10421.600	1037.7	0.09473	-0.00006
10483.149	1993.4	0.06121	-0.00034
10487.955	348.2	0.00867	0.00023
10589.290	607.6	0.14185	0.00006
10682.597	375.5	0.16607	0.00025
10748.488	1740.8	0.08025	-0.00022
10793.516	416.4	0.00916	-0.00128
10801.026	737.3	0.11566	-0.00086
10809.409	191.1	0.01170	0.00066
10809.737	320.9	0.00896	-0.00133
10829.698	409.6	0.01609	0.00055
11072.208	238.9	0.00790	0.00069
11178.868	1051.3	0.08471	-0.00096
11192.276	218.5	0.29519	-0.00123
11291.617	184.3	0.00774	0.00056
11344.155	464.2	0.01440	0.00095
11440.275	225.3	0.01085	0.00077
11450.515	471.0	0.22028	-0.00162
11454.119	252.6	0.00860	0.00030
11469.193	873.8	0.12327	-0.00046
11483.201	1583.8	0.08434	0.00098
11494.888	764.6	0.13762	-0.00084
11503.380	1044.5	0.08981	-0.00068
11562.854	498.3	0.08549	-0.00050
11565.066	191.1	0.00930	0.00059
11634.043	682.7	0.01044	0.00048
11651.792	170.7	0.01215	0.00052
11706.815	1010.3	0.07762	-0.00044
11750.260	3536.2	0.11161	-0.00020
11787.288	785.1	0.05269	0.00170
11792.640	1160.5	0.03583	0.00062
11901.648	293.5	0.16149	0.00042
11938.485	628.1	0.14435	0.00261
11986.954	409.6	0.19737	-0.00115
12001.044	238.9	0.00775	0.00025
12014.015	587.1	0.17128	0.00042
12018.111	1235.6	0.09000	-0.00056
12028.297	327.7	0.15440	0.00030
12033.430	600.7	0.33147	-0.00042
12099.567	737.3	0.12202	0.00156
12144.049	238.9	0.00813	-0.00080
12190.908	1037.7	0.10160	0.00661
12192.546	1228.8	0.08228	0.00005
12199.182	662.2	0.08183	-0.00041
12200.520	1160.5	0.08067	-0.00041
12264.199	300.4	0.52560	0.00121
12264.581	266.2	0.51141	0.00121
12318.949	1727.1	0.09595	0.00029
12343.934	976.2	0.11594	0.00007
12350.160	484.7	0.03012	-0.00076
12356.550	764.6	0.11771	-0.00029
12366.271	273.1	0.18572	0.00026
12367.227	184.3	0.01119	0.00021
12397.401	3194.9	0.05017	0.00013
12510.368	191.1	0.01684	-0.00055
12511.051	266.2	0.01037	0.00046
12544.939	245.8	0.12738	0.00074
12547.997	655.4	0.17499	-0.00377
12556.435	826.0	0.16711	-0.00068
12636.443	764.6	0.09428	0.00099
12639.447	607.6	0.08255	-0.00145
12670.659	812.4	0.06658	-0.00040
12679.042	703.1	0.11116	-0.00077
12681.991	853.3	0.11120	-0.00034
12713.312	518.8	0.11100	0.00014
12715.578	1010.3	0.08759	-0.00003
12779.694	1215.1	0.12950	-0.00007
13132.633	873.8	0.10005	0.00103
13144.566	812.4	0.06922	-0.00063
13153.249	655.4	0.03269	0.00045
13153.768	894.3	0.07054	0.00045
13228.397	491.5	0.00834	-0.00001
13232.712	2000.2	0.06231	0.00022
13238.391	873.8	0.10258	0.00143
13436.938	1235.6	0.05191	0.00081
13591.631	2327.9	0.06585	-0.00002
14197.511	1085.4	0.10057	0.00040
14285.466	662.2	0.15272	0.00130
14291.610	1146.9	0.16802	0.00026
14370.717	307.2	0.01679	-0.00085
14552.388	710.0	0.09732	-0.00020
14620.327	976.2	0.11526	-0.00010
14667.595	655.4	0.15666	-0.00018
14723.410	184.3	0.01232	0.00046
14724.502	976.2	0.09834	0.00051
14739.794	5461.3	0.03897	0.00028
14758.499	1017.2	0.08378	-0.00044
14901.477	423.3	0.15960	0.00046
15053.957	9072.6	0.07568	-0.00014
15224.078	1065.0	0.15735	0.00034
15229.239	593.9	0.14422	-0.00008
15235.492	1235.6	0.12324	0.01540
15245.322	300.4	0.09412	0.00032
15249.910	1010.3	0.08624	-0.00073
15548.535	1262.9	0.05983	0.00109
15698.695	29040.6	0.10972	0.00002
15829.958	252.6	0.00925	-0.00055
15834.764	580.3	0.11241	-0.00134
15838.505	416.4	0.06255	0.00046
15923.101	764.6	0.06899	-0.00130
15935.116	983.0	0.05853	-0.00081
16028.122	1399.5	0.07101	0.00010
16059.307	375.5	0.14124	0.00147
16132.489	300.4	0.11529	0.00001
16134.673	1419.9	0.04199	-0.00010
16136.230	1467.7	0.02416	0.00169
16136.530	184.3	0.01692	0.00012
16138.278	737.3	0.03810	0.00042
16152.559	1262.9	0.07890	0.00024
16302.391	211.6	0.00771	0.00025
16389.308	191.1	0.10481	0.00044
16428.165	163.8	0.00768	0.00098
16603.965	279.9	0.09905	0.00036
16758.903	39703.9	0.04191	-0.00006
16769.662	2430.3	0.08444	0.00011
16866.410	3194.9	0.05520	-0.00032
16878.834	2136.7	0.06887	0.00047
16947.319	1331.2	0.06511	0.00003
17014.712	1167.4	0.11930	0.00032
17017.443	689.5	0.10697	0.00058
17041.309	1092.3	0.07742	-0.00057
17061.379	1440.4	0.06107	-0.00007
17071.865	1522.3	0.05560	-0.00005
17238.381	143.4	0.00864	-0.00008
17238.600	143.4	0.02434	-0.00008
17257.032	730.5	0.01128	0.00007
17272.678	6417.1	0.22166	-0.00014
17294.169	163.8	0.01604	-0.00019
17298.565	539.3	0.14787	-0.00196
17300.941	614.4	0.16699	-0.00347
17324.425	334.5	0.01166	-0.00004
17325.571	382.3	0.18495	0.00056
17360.633	198.0	0.01484	0.00017
17613.274	6075.7	0.08919	-0.00019
17693.283	655.4	0.18052	0.00025
17703.496	307.2	0.20974	-0.00012
17716.712	1781.8	0.06286	-0.00040
17721.709	443.7	0.15388	0.00030
17731.130	839.7	0.01251	0.00060
17749.917	764.6	0.17109	-0.00460
17760.730	593.9	0.20296	-0.00095
17768.704	662.2	0.18077	0.00092
17775.039	2123.1	0.07343	0.00045
18109.082	3529.4	0.12218	-0.00024
18141.658	546.1	0.12419	0.00204
18144.471	191.1	0.01388	-0.00016
18144.799	327.7	0.01113	-0.00017
18303.205	1419.9	0.20067	-0.00072
18460.191	170.7	0.01217	0.00041
18606.800	300.4	0.00848	-0.00044
18615.975	737.3	0.08272	-0.00052
18625.724	1126.4	0.05409	0.00006
18854.663	41185.3	0.06238	-0.00010
18864.002	191.1	0.15553	-0.00028
18927.135	1815.9	0.01214	0.00028
18983.086	409.6	0.08969	0.00014
19002.201	798.7	0.01009	-0.00025
19160.880	819.2	0.12061	0.00119
19162.900	464.2	0.01793	0.00006
19171.557	593.9	0.07822	-0.00159
19174.451	962.6	0.07261	0.00038
19206.700	873.8	0.09510	0.00062
19234.717	1331.2	0.07823	0.00786
19452.023	1317.5	0.06627	-0.00049
19459.205	2430.3	0.07433	0.00025
19478.975	1399.5	0.07024	-0.00009
19560.677	2805.8	0.04818	0.00025
19854.442	7748.3	0.10028	-0.00020
19914.598	26391.9	0.01007	-0.00033
20255.140	887.5	0.00951	-0.00019
20338.398	163.8	0.01032	0.00024
20502.921	839.7	0.09939	-0.00016
20505.952	409.6	0.01107	-0.00003
20578.178	1262.9	0.07278	0.00042
20616.571	791.9	0.01291	-0.00045
20809.465	573.4	0.15696	-0.00036
20915.197	1372.2	0.07783	-0.00025
20953.235	553.0	0.12516	-0.00063
20957.495	1802.2	0.12156	0.00017
20960.990	955.7	0.11998	0.00024
21402.238	2635.1	0.10762	-0.00037
21631.724	279.9	0.01054	0.00015
21672.957	655.4	0.14960	0.00005
21693.846	2246.0	0.05933	-0.00004
22693.516	191.1	0.00880	-0.00021
23169.143	83865.6	0.08914	0.00010
24045.087	566.6	0.05935	0.00040
24487.728	37027.8	0.11304	0.00015
24527.896	245.8	0.13500	-0.00087
24603.071	607.6	0.08119	-0.00026
24997.297	757.8	0.14363	0.00399
25362.415	764.6	0.15943	-0.00052
25369.597	2430.3	0.06209	-0.00002
25373.638	539.3	0.07896	0.00064
25505.720	962.6	0.11869	0.00044
25507.987	1338.0	0.07330	0.00006
25989.212	791.9	0.01074	-0.00018
26000.381	1720.3	0.06340	0.00020
26001.391	969.4	0.00987	0.00020
26402.280	163.8	0.00810	0.00044
27270.468	812.4	0.14532	-0.00212
27323.853	300.4	0.17758	0.00025
27342.967	498.3	0.18564	-0.00039
27345.725	1713.5	0.06287	-0.00049
27347.937	928.4	0.16966	0.00011
27356.020	873.8	0.16136	-0.00011
27366.861	416.4	0.17406	0.00316
27368.008	1044.5	0.11642	-0.00025
27371.503	689.5	0.11177	-0.00028
27386.221	191.1	0.01065	-0.00009
28183.385	1904.6	0.06326	-0.00020
28185.624	232.1	0.01143	0.00008
