DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
17:04:23
7;400.0000 mm;0.0000 mm;-90.0000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1.758	218.5	0.39423	-0.00479
7.137	252.6	0.40832	-0.01472
24.777	238.9	0.41804	0.03725
35.618	450.6	0.43778	0.03371
39.086	204.8	0.43780	0.03110
86.081	266.2	0.42817	-0.06532
94.082	532.5	0.42854	-0.05344
128.379	273.1	0.44559	-0.02379
144.326	293.5	0.44002	0.00327
149.105	245.8	0.43156	0.00133
162.621	252.6	0.42965	-0.02263
165.161	225.3	0.43351	-0.00431
176.957	143.4	0.41991	-0.01686
227.229	232.1	0.41573	-0.00723
230.697	355.0	0.41490	-0.01294
234.602	416.4	0.42482	0.00337
259.560	300.4	0.46003	0.00802
283.863	320.9	0.45759	-0.01415
312.999	191.1	0.46304	-0.00303
334.435	252.6	0.45524	-0.01538
337.002	314.0	0.45706	-0.02138
375.477	218.5	0.45265	-0.00246
386.809	279.9	0.46088	-0.01418
391.561	307.2	0.46022	-0.00676
393.554	259.4	0.46155	-0.00063
406.798	191.1	0.47255	-0.03413
409.938	375.5	0.47318	-0.02864
412.832	273.1	0.47127	-0.03241
414.225	184.3	0.47339	-0.03086
425.393	211.6	0.48782	-0.01506
427.551	348.2	0.49637	-0.01841
442.788	279.9	0.45187	-0.01006
446.119	327.7	0.45837	-0.01071
456.414	184.3	0.41781	-0.03067
468.101	382.3	0.41625	-0.04181
478.013	218.5	0.41984	-0.01482
481.727	368.6	0.42069	-0.01073
488.854	266.2	0.42046	0.00091
491.121	300.4	0.42331	-0.00208
509.198	375.5	0.42064	0.01001
522.796	245.8	0.38095	-0.00383
523.479	409.6	0.42051	0.01334
534.211	218.5	0.39957	0.00336
544.423	348.2	0.40690	0.02180
575.580	361.8	0.43126	-0.02055
580.605	273.1	0.44168	-0.01635
584.318	218.5	0.44595	-0.00948
585.192	259.4	0.43687	-0.00653
592.538	273.1	0.44162	-0.01011
600.265	191.1	0.43818	-0.00880
602.259	375.5	0.45308	-0.00450
609.577	279.9	0.42631	-0.00249
620.390	307.2	0.42439	-0.01733
621.565	163.8	0.43593	-0.01686
645.376	238.9	0.41949	-0.01991
690.732	259.4	0.41036	-0.02357
691.251	327.7	0.41699	-0.02109
696.439	184.3	0.42207	-0.00581
704.386	279.9	0.41738	-0.01207
711.922	198.0	0.42331	-0.00212
733.303	266.2	0.42108	-0.00572
