DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:49:06
4;400.0000 mm;0.0000 mm;-5.0000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1.485	491.5	0.29631	-0.00139
2.413	491.5	0.26398	0.01117
30.321	177.5	0.34537	0.01520
52.739	355.0	0.35669	0.01461
59.047	300.4	0.35627	-0.00188
97.823	245.8	0.34284	-0.01342
115.135	286.7	0.33947	0.04362
130.809	341.3	0.35911	-0.02467
150.688	634.9	0.32548	-0.00101
156.641	662.2	0.30082	0.03252
163.277	395.9	0.27464	0.02242
174.609	300.4	0.28028	0.02521
188.508	157.0	0.30081	-0.00767
193.833	361.8	0.29856	-0.00341
206.148	389.1	0.33208	0.01129
230.670	273.1	0.29250	0.00084
258.249	334.5	0.26466	0.00244
263.192	532.5	0.29988	-0.01178
277.555	273.1	0.27877	0.01024
280.695	273.1	0.27723	0.01542
281.897	477.9	0.27525	0.02002
295.714	409.6	0.26783	0.02731
327.745	525.7	0.27839	-0.00719
337.603	450.6	0.25413	0.01658
342.463	382.3	0.22955	0.02064
349.208	355.0	0.23944	0.00533
356.308	327.7	0.25585	-0.01531
373.538	259.4	0.28113	0.01335
400.135	409.6	0.28892	0.02547
402.729	279.9	0.28026	0.06354
406.279	266.2	0.34430	0.02157
412.641	225.3	0.35285	-0.03954
425.039	225.3	0.29542	0.02017
426.322	300.4	0.29614	0.02012
456.141	327.7	0.36891	0.00880
479.379	300.4	0.43186	-0.01342
506.276	327.7	0.44613	-0.03289
511.710	402.8	0.43959	-0.05860
516.489	184.3	0.40325	-0.06729
521.677	143.4	0.40456	-0.02540
531.152	327.7	0.40543	0.00848
532.654	348.2	0.38803	-0.02365
542.266	211.6	0.36502	-0.01401
552.806	279.9	0.38084	0.00119
562.282	191.1	0.37767	0.00571
582.516	225.3	0.44204	-0.03133
620.663	232.1	0.35170	-0.00150
660.122	218.5	0.37478	0.07351
663.781	286.7	0.43446	0.05171
666.211	157.0	0.43202	0.03526
684.643	259.4	0.41384	0.01208
703.621	382.3	0.37511	0.01181
706.598	416.4	0.38289	0.01197
717.903	191.1	0.37649	-0.01923
724.483	375.5	0.33861	0.01555
734.068	355.0	0.33925	0.01824
742.069	252.6	0.35743	0.06914
746.001	409.6	0.33781	0.01493
746.656	300.4	0.36577	-0.00288
747.394	191.1	0.32964	0.00169
756.432	252.6	0.37303	0.00350
757.333	334.5	0.36754	0.00168
775.274	218.5	0.38368	-0.03125
778.878	191.1	0.43749	-0.00487
799.823	498.3	0.45480	0.00377
805.721	471.0	0.42775	0.00661
831.744	355.0	0.47069	-0.01478
845.588	163.8	0.43950	-0.01238
847.527	416.4	0.42882	-0.00259
852.743	327.7	0.42988	0.00015
880.159	191.1	0.44237	-0.00146
890.317	211.6	0.43587	0.00410
912.790	525.7	0.42377	0.00511
919.617	184.3	0.41584	-0.00216
927.072	307.2	0.39955	0.01016
936.547	211.6	0.38007	0.01434
955.334	327.7	0.39156	0.01116
963.744	355.0	0.37676	0.01662
977.370	198.0	0.38539	0.03511
994.137	279.9	0.40158	0.01812
995.284	252.6	0.40033	0.02630
1018.303	355.0	0.47129	0.00168
1074.937	191.1	0.44796	-0.00683
1110.982	327.7	0.40056	-0.04036
1137.551	293.5	0.38470	-0.03918
1154.372	327.7	0.34681	0.00098
1166.114	341.3	0.32620	-0.00181
1172.531	279.9	0.36996	-0.00622
1222.612	409.6	0.29986	-0.00102
1234.681	286.7	0.32073	-0.00464
1236.429	307.2	0.31660	-0.00044
1245.276	225.3	0.35154	0.03457
1252.594	382.3	0.31991	-0.02223
1262.752	293.5	0.30299	-0.00855
1270.835	375.5	0.31704	0.00308
1309.338	191.1	0.42991	-0.02812
1372.880	327.7	0.39602	-0.00159
1374.409	198.0	0.38823	0.01040
1399.040	252.6	0.39314	-0.00376
1405.512	293.5	0.39388	-0.01587
1408.515	266.2	0.41634	-0.03193
1421.459	279.9	0.35417	0.03723
1444.588	327.7	0.35917	0.00070
1447.373	334.5	0.33958	0.02165
1455.101	341.3	0.36631	0.02212
1469.464	266.2	0.33863	0.02111
1470.938	279.9	0.34950	-0.03369
1474.352	546.1	0.32404	0.01465
1484.155	355.0	0.32951	-0.01436
1488.633	327.7	0.34430	-0.02469
1504.608	266.2	0.39217	-0.03411
1533.143	423.3	0.38894	-0.00562
1548.899	307.2	0.32958	0.03217
1565.583	293.5	0.28841	0.03147
1566.621	348.2	0.34372	-0.01159
1576.670	320.9	0.28218	0.05451
1589.996	361.8	0.35405	-0.01589
1604.058	389.1	0.30390	-0.00102
1640.813	355.0	0.29590	-0.00356
1690.621	327.7	0.32533	-0.00681
1706.841	409.6	0.28868	0.04413
1715.005	293.5	0.33228	-0.02100
1744.824	355.0	0.30278	0.01525
1775.927	218.5	0.35772	0.01088
1779.504	471.0	0.31882	0.00068
1788.843	355.0	0.39477	0.02272
