DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:54:10
5;400.0000 mm;0.0000 mm;-20.0000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
1.294	163.8	0.44189	-0.00770
41.844	300.4	0.44707	-0.00431
52.330	245.8	0.44050	-0.00771
70.243	245.8	0.44782	0.00310
70.735	293.5	0.44857	0.00117
99.680	211.6	0.44539	-0.01601
99.925	266.2	0.44973	-0.00642
157.952	198.0	0.44539	-0.00578
161.420	218.5	0.44559	-0.01333
165.652	238.9	0.44819	-0.01455
165.871	75.1	0.45017	-0.00610
179.797	245.8	0.46972	-0.01072
188.645	307.2	0.45804	-0.00591
192.604	163.8	0.46953	0.00069
195.444	273.1	0.46904	-0.00094
220.593	259.4	0.46279	0.02335
234.438	245.8	0.46626	0.00328
243.203	320.9	0.46908	-0.00615
248.337	300.4	0.46136	-0.01023
252.843	648.5	0.46624	0.00121
255.683	218.5	0.46427	0.00057
269.090	218.5	0.45236	0.00117
300.138	300.4	0.44492	0.00475
306.200	293.5	0.43550	0.00915
309.641	191.1	0.43766	0.00217
320.918	245.8	0.43252	0.00096
322.202	279.9	0.43331	-0.00066
323.212	252.6	0.42885	0.00012
326.270	170.7	0.43796	-0.00137
342.927	402.8	0.40869	-0.00243
345.958	238.9	0.40098	-0.00363
346.860	191.1	0.40733	-0.00103
347.815	314.0	0.38779	-0.00940
361.960	259.4	0.40874	0.02109
377.334	273.1	0.39760	0.00958
379.354	300.4	0.39684	0.00647
385.143	286.7	0.42001	0.01746
406.197	314.0	0.45135	-0.01445
419.359	116.1	0.42384	0.02783
424.656	273.1	0.44522	0.01069
440.685	348.2	0.42823	0.02823
449.232	273.1	0.43427	-0.00870
464.305	327.7	0.44536	-0.01180
470.914	375.5	0.43803	-0.00823
489.045	245.8	0.42846	-0.01244
506.604	300.4	0.43878	-0.00093
511.109	245.8	0.44635	-0.00161
525.636	184.3	0.46490	-0.02592
569.409	163.8	0.41235	-0.01780
586.284	300.4	0.41902	0.01332
594.640	184.3	0.43324	-0.00770
604.116	436.9	0.43952	-0.02721
610.287	491.5	0.43798	-0.03309
621.947	430.1	0.43494	0.00510
631.177	607.6	0.39891	0.01023
645.431	279.9	0.40097	0.00263
672.464	163.8	0.45821	-0.01860
690.214	245.8	0.47606	-0.02071
702.611	238.9	0.46629	0.00197
767.874	286.7	0.43367	-0.01642
781.718	163.8	0.42865	-0.00631
786.497	334.5	0.44134	-0.00826
797.884	252.6	0.43361	0.00090
809.953	334.5	0.43295	0.00111
812.520	286.7	0.42594	0.00979
819.593	334.5	0.42263	-0.01043
834.966	279.9	0.42786	0.00364
863.529	348.2	0.41496	-0.01265
877.892	225.3	0.42108	-0.02579
883.654	286.7	0.44399	-0.02261
904.434	225.3	0.43129	-0.00168
906.728	157.0	0.43224	0.00188
944.794	211.6	0.41627	0.00115
949.354	191.1	0.42527	-0.00143
957.682	211.6	0.42714	-0.00838
962.324	184.3	0.44249	-0.00025
964.263	252.6	0.44931	0.00023
971.663	191.1	0.44982	0.01410
992.061	225.3	0.48760	0.00170
997.987	279.9	0.49023	0.02692
999.434	368.6	0.47499	-0.00063
1000.909	259.4	0.46381	0.03680
1022.700	218.5	0.46588	-0.02651
1041.186	163.8	0.44467	-0.03113
1070.978	225.3	0.42208	-0.00281
1088.945	395.9	0.43192	-0.05679
1090.202	232.1	0.39804	-0.04078
1092.796	191.1	0.44072	-0.01924
1112.265	163.8	0.44147	0.06707
1129.660	238.9	0.45123	-0.01698
1139.217	293.5	0.42576	-0.03411
1174.115	163.8	0.44271	-0.00375
1181.679	307.2	0.41051	-0.02305
1208.713	273.1	0.44897	-0.01684
1210.160	293.5	0.44919	-0.01552
1217.369	389.1	0.43684	-0.00783
1227.609	320.9	0.43225	-0.02005
1254.588	307.2	0.44056	-0.01834
1261.278	327.7	0.44790	-0.02623
1271.190	198.0	0.42563	-0.01441
1292.844	225.3	0.44614	0.01473
1299.589	198.0	0.43558	0.00328
1312.177	266.2	0.44039	0.02683
1313.188	218.5	0.47910	0.01787
1331.401	252.6	0.44911	-0.00130
1337.190	170.7	0.45312	0.00070
1338.965	279.9	0.44519	-0.00513
1339.866	334.5	0.44490	-0.00527
1340.549	307.2	0.45004	-0.00527
1351.253	320.9	0.48839	0.00060
1386.861	211.6	0.43555	0.00391
1476.673	266.2	0.40862	0.01727
1518.698	218.5	0.40241	0.01572
1520.418	307.2	0.40331	0.02015
1526.262	464.2	0.39147	0.01810
1544.202	334.5	0.45483	-0.01477
1548.462	266.2	0.44485	-0.01692
1555.944	232.1	0.43802	-0.01240
1559.494	266.2	0.43036	0.02392
1560.750	198.0	0.41957	-0.01198
1567.631	252.6	0.40935	0.00358
1570.307	320.9	0.41138	0.01645
1599.444	102.4	0.40935	-0.00309
1606.243	273.1	0.41779	-0.00036
1628.744	191.1	0.43803	0.02036
1630.300	375.5	0.42292	0.02860
1675.547	266.2	0.42597	-0.00006
1679.398	307.2	0.42485	0.00091
1688.081	320.9	0.43385	0.00056
1688.518	334.5	0.43499	0.00716
1705.858	307.2	0.42299	-0.01845
1710.609	259.4	0.42365	-0.01823
1712.630	443.7	0.42429	-0.01609
1719.975	245.8	0.41019	-0.00560
1725.573	368.6	0.41351	-0.01546
1740.155	245.8	0.40086	-0.01768
1773.797	382.3	0.39778	-0.01099
