DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:44:02
3;400.0000 mm;0.0000 mm;-1.0000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
4.434	464.2	0.25039	0.00285
48.671	368.6	0.20488	0.00168
85.453	464.2	0.20940	-0.00232
118.221	477.9	0.28210	0.02631
132.284	191.1	0.30957	0.00271
149.596	361.8	0.21840	0.00631
176.739	341.3	0.17642	-0.00213
191.539	395.9	0.23503	0.01359
210.872	348.2	0.33633	0.00846
211.528	471.0	0.26390	0.02115
240.172	409.6	0.31286	0.00144
262.127	539.3	0.19615	0.00037
270.565	252.6	0.30846	-0.05065
271.684	300.4	0.29582	-0.04731
278.484	430.1	0.20410	0.02356
285.065	464.2	0.28198	-0.00197
316.877	436.9	0.22235	0.01148
318.269	368.6	0.27559	-0.00546
332.332	436.9	0.23862	0.00624
336.456	614.4	0.28766	0.00480
338.968	355.0	0.23235	0.00217
355.843	382.3	0.24966	-0.01400
390.577	805.5	0.18177	0.00069
405.050	477.9	0.24818	-0.00114
423.646	716.8	0.20507	-0.00044
446.283	279.9	0.29076	-0.01255
455.895	348.2	0.30512	-0.01843
458.325	430.1	0.28702	0.01144
558.978	361.8	0.18859	0.00878
562.992	361.8	0.28177	-0.00464
582.707	628.1	0.19479	-0.00101
644.475	184.3	0.29517	0.00021
652.257	300.4	0.25792	0.00495
653.268	361.8	0.24783	0.00544
668.887	409.6	0.28618	0.00355
676.369	518.8	0.27775	0.00006
680.329	341.3	0.30235	0.00343
681.503	539.3	0.26783	-0.00107
695.265	279.9	0.26151	0.00685
714.462	1174.2	0.17145	0.00741
729.781	348.2	0.25647	-0.01091
798.293	300.4	0.31420	-0.02395
802.280	279.9	0.28927	-0.01415
820.357	464.2	0.16297	0.03868
827.593	238.9	0.18442	0.00740
828.795	518.8	0.17590	0.00157
831.881	382.3	0.20280	0.00921
832.454	382.3	0.21315	0.00751
838.680	382.3	0.24789	0.00951
880.732	320.9	0.25323	0.00328
881.333	300.4	0.27383	0.00676
882.234	320.9	0.28779	0.00502
892.064	327.7	0.27341	-0.03364
905.472	532.5	0.31676	-0.02391
946.842	430.1	0.25579	0.01416
952.931	348.2	0.29002	-0.03565
957.928	607.6	0.11852	0.02879
975.541	307.2	0.24769	-0.01919
1002.329	300.4	0.33807	-0.00147
1048.259	218.5	0.30716	0.00711
1078.651	409.6	0.20182	0.02172
1102.053	327.7	0.20569	0.00357
1133.100	389.1	0.26666	-0.00679
1151.560	409.6	0.21449	0.00224
1163.875	587.1	0.28302	-0.00302
1179.604	382.3	0.26686	0.00173
1180.887	300.4	0.29425	0.00290
1234.026	409.6	0.22246	-0.00781
1250.546	498.3	0.27298	-0.00207
1274.249	443.7	0.23625	0.00689
1302.456	409.6	0.19035	0.00986
1304.313	286.7	0.25841	-0.00480
1312.969	498.3	0.28382	-0.02476
1315.318	423.3	0.24287	0.01882
1328.425	546.1	0.22578	-0.01983
1329.572	457.4	0.19943	-0.01266
1341.723	314.0	0.19784	0.00555
1361.876	655.4	0.18429	0.00407
1369.440	327.7	0.26575	-0.00761
1369.904	409.6	0.24938	-0.00089
1372.525	669.0	0.20849	0.00689
1385.032	300.4	0.17835	0.01687
1397.675	436.9	0.19779	-0.00181
1400.405	286.7	0.26529	-0.01562
1415.069	245.8	0.28405	-0.00395
1416.844	238.9	0.28567	-0.00334
1426.156	498.3	0.10391	0.03439
1458.104	348.2	0.30745	-0.00691
1459.142	238.9	0.29150	-0.00577
1462.091	307.2	0.29211	-0.00417
1476.263	382.3	0.24264	-0.00981
1487.650	355.0	0.20266	0.00963
1495.678	355.0	0.20581	0.02055
1504.253	314.0	0.21700	-0.00286
1530.276	648.5	0.27159	-0.03891
1542.591	307.2	0.29044	0.01127
1613.015	273.1	0.26270	0.00500
1627.569	293.5	0.26053	-0.00037
1641.878	573.4	0.20948	0.02146
1676.175	430.1	0.21680	0.00353
1679.971	225.3	0.15354	0.03262
1695.235	334.5	0.19689	0.00893
1696.519	355.0	0.18556	0.00937
1700.970	361.8	0.25504	-0.00118
1702.608	778.2	0.15993	0.01757
1706.841	443.7	0.16199	0.01360
1707.469	723.6	0.20643	0.00219
1757.822	300.4	0.25764	-0.00197
1764.977	402.8	0.20519	0.00842
1766.233	273.1	0.17765	0.00902
1776.172	518.8	0.18755	-0.00764
1783.026	409.6	0.18736	0.00119
1811.043	252.6	0.28961	-0.00143
1813.692	300.4	0.28855	-0.00301
1816.477	307.2	0.28869	-0.01026
1839.223	757.8	0.20805	-0.00529
1848.071	382.3	0.21758	-0.02382
1877.890	764.6	0.13219	0.00503
1921.143	710.0	0.12653	0.01199
1930.073	710.0	0.11989	0.00443
1941.023	593.9	0.23862	-0.00994
1957.352	238.9	0.22937	-0.03554
1968.657	573.4	0.23403	-0.01382
1975.784	327.7	0.20056	0.00572
1988.673	573.4	0.14542	-0.00084
2013.713	355.0	0.28686	-0.00871
2018.301	266.2	0.30683	-0.01602
2071.603	484.7	0.30363	-0.01910
2092.465	211.6	0.22097	0.00438
2118.325	334.5	0.19746	0.00454
2126.380	320.9	0.21658	-0.00771
2135.719	300.4	0.30752	-0.01408
2183.916	238.9	0.29287	-0.00551
2193.500	334.5	0.29454	-0.00904
2218.868	327.7	0.27547	0.00676
2243.471	300.4	0.22880	-0.02084
2259.528	293.5	0.21302	-0.00465
2261.002	491.5	0.16751	-0.00048
2271.706	518.8	0.22828	0.00199
2300.597	750.9	0.12707	0.01283
2314.523	389.1	0.09874	0.01704
2323.753	279.9	0.17156	-0.00453
2342.321	436.9	0.25525	-0.00248
2367.744	628.1	0.12675	0.01058
2379.540	846.5	0.22679	-0.00607
2444.803	409.6	0.23486	-0.00088
2448.572	191.1	0.27782	0.00692
2453.323	477.9	0.25118	0.01367
2524.348	279.9	0.30231	-0.01449
2535.079	361.8	0.32352	-0.00157
2547.313	327.7	0.24672	0.02555
2562.741	436.9	0.28017	-0.01226
2596.465	355.0	0.19231	-0.00541
2636.551	757.8	0.17795	0.02009
2639.582	163.8	0.18067	0.02259
2644.306	252.6	0.22985	-0.00485
2668.554	436.9	0.24206	-0.00739
2699.274	436.9	0.20311	-0.00121
2729.667	464.2	0.18038	0.01401
2739.907	334.5	0.27634	-0.01547
2742.883	348.2	0.27475	-0.00853
2747.361	361.8	0.22175	-0.00065
2754.215	730.5	0.09749	0.01593
2762.735	361.8	0.13575	-0.01607
2772.456	409.6	0.33901	-0.02161
2781.740	389.1	0.37812	-0.01103
2783.980	300.4	0.36687	-0.00679
2817.922	641.7	0.13096	0.01407
2827.179	553.0	0.11562	0.00441
2837.446	355.0	0.25340	0.00353
2856.943	546.1	0.15160	-0.00560
2887.772	273.1	0.26101	-0.00577
2897.521	341.3	0.21515	0.00266
2948.857	341.3	0.19058	-0.00294
3002.624	518.8	0.24401	0.03314
3102.403	546.1	0.21960	0.01360
3133.232	498.3	0.16464	0.00073
3137.492	327.7	0.20033	-0.00204
3143.444	757.8	0.18483	0.00059
3209.335	382.3	0.17726	0.00381
3224.873	812.4	0.19723	0.00246
3261.764	307.2	0.26328	-0.00372
3266.051	300.4	0.25717	0.01408
3280.824	320.9	0.29929	-0.00321
3288.661	273.1	0.31218	-0.00720
3297.727	327.7	0.26310	0.00601
3309.906	559.8	0.22841	-0.00328
3339.206	382.3	0.15277	0.00976
3346.388	307.2	0.27439	-0.00701
3351.876	382.3	0.26992	-0.01257
3413.453	300.4	0.18793	0.03680
3426.860	593.9	0.24094	-0.00392
3430.164	307.2	0.24751	0.00939
3469.268	464.2	0.28939	-0.00235
3495.182	566.6	0.24281	0.00721
3533.329	587.1	0.13073	-0.00164
3536.333	518.8	0.11738	0.00365
3553.591	491.5	0.21397	-0.00759
3560.144	450.6	0.18884	0.01508
3567.217	962.6	0.09497	0.01501
3582.263	546.1	0.09749	0.00387
3589.690	279.9	0.27491	-0.00414
3597.036	839.7	0.11095	0.01213
3642.092	368.6	0.14874	0.00686
3734.552	402.8	0.19575	-0.00181
3753.748	430.1	0.22709	0.00291
3793.862	389.1	0.23625	-0.00511
3800.115	389.1	0.20406	0.00382
3824.582	464.2	0.24404	0.00669
3825.510	273.1	0.23343	0.00525
3826.384	539.3	0.24713	0.00317
3845.854	245.8	0.29457	-0.00685
3846.564	341.3	0.30671	-0.00758
3850.633	409.6	0.30346	-0.00554
3859.480	300.4	0.23523	0.00491
3876.110	252.6	0.30054	0.00065
3879.550	300.4	0.30992	0.00014
3897.573	491.5	0.25164	0.00257
3903.689	327.7	0.23640	0.00162
3911.772	539.3	0.25744	-0.00668
3915.650	361.8	0.26871	0.00034
3934.874	409.6	0.25992	-0.00185
3940.335	457.4	0.17446	0.00046
3944.212	914.8	0.12967	0.00213
3975.724	348.2	0.24139	-0.04071
3978.018	334.5	0.22730	-0.03015
3983.616	587.1	0.19494	0.03289
3990.770	204.8	0.23241	0.00523
3993.501	279.9	0.20741	0.01799
4008.492	689.5	0.15314	0.01820
4029.000	320.9	0.23093	0.00328
4062.505	641.7	0.20223	0.03151
4067.475	539.3	0.22327	-0.02152
4123.836	477.9	0.23183	-0.00257
4133.666	634.9	0.22697	-0.00596
4143.688	279.9	0.17074	0.00193
4148.139	559.8	0.13066	0.00257
4152.890	1051.3	0.13082	0.00096
4165.779	553.0	0.21775	-0.00787
4185.986	279.9	0.25038	0.00191
4207.776	327.7	0.24701	0.01877
4219.682	723.6	0.22030	-0.00203
4220.774	532.5	0.17588	0.02359
4239.070	901.1	0.14846	0.00247
4317.768	525.7	0.12996	0.00963
4334.070	955.7	0.12225	0.00995
4346.085	989.9	0.09361	0.01473
4386.034	750.9	0.11539	0.00658
4445.891	436.9	0.24337	-0.02805
4452.253	232.1	0.21809	0.00692
4464.759	730.5	0.15543	0.00327
4474.044	430.1	0.19844	0.01871
4480.133	395.9	0.24449	0.00610
4495.316	1399.5	0.10849	0.02377
4500.477	245.8	0.26227	-0.01372
4520.001	477.9	0.24715	-0.02603
4527.483	355.0	0.24734	-0.00763
4553.506	341.3	0.23107	-0.00674
4559.623	621.2	0.21902	-0.00200
4561.343	395.9	0.20663	0.00748
4578.546	266.2	0.26476	0.00308
4580.622	409.6	0.17977	0.00518
4592.063	259.4	0.21084	0.00099
4605.798	327.7	0.28562	-0.00024
4621.909	423.3	0.23173	0.01374
4648.561	402.8	0.19356	-0.00044
4649.298	314.0	0.21403	0.00187
4665.655	279.9	0.28358	-0.00981
4708.826	300.4	0.24224	-0.00560
4716.336	300.4	0.27908	0.00603
4721.060	307.2	0.29050	0.00251
4728.323	361.8	0.32634	0.00468
4734.249	307.2	0.32939	-0.01775
4757.214	245.8	0.28818	-0.00191
4796.426	402.8	0.20738	0.00088
4819.091	327.7	0.24172	-0.00379
4847.981	477.9	0.13300	0.01345
4856.419	450.6	0.16023	-0.00848
4871.902	696.3	0.11618	0.01927
4892.955	436.9	0.27205	0.00277
4899.673	355.0	0.25861	0.00527
4906.090	245.8	0.25731	0.00440
4906.499	389.1	0.28758	-0.00122
4918.105	484.7	0.23943	0.00074
4924.549	382.3	0.19522	0.00952
4929.137	402.8	0.19844	0.00743
4929.492	273.1	0.25856	0.00743
4957.699	757.8	0.13638	-0.00107
4980.337	573.4	0.15272	0.00216
4985.825	416.4	0.17961	0.00598
5035.523	116.1	0.20620	-0.00090
5052.508	614.4	0.23572	0.00401
5071.951	416.4	0.20219	-0.01003
5109.907	211.6	0.14305	-0.00219
5151.877	689.5	0.14303	-0.00035
5160.233	553.0	0.10544	0.01503
5188.905	471.0	0.19357	0.00888
5222.438	259.4	0.20479	0.01177
5232.841	409.6	0.17377	0.01371
5236.746	546.1	0.17274	-0.00246
5243.081	682.7	0.17469	0.00211
5243.846	300.4	0.19730	-0.01161
5249.799	395.9	0.14129	-0.00895
5285.270	436.9	0.17333	-0.00094
5301.463	464.2	0.17246	0.00882
5316.099	580.3	0.13890	0.01611
5339.747	505.2	0.12032	0.00653
5355.694	764.6	0.13014	0.01436
5378.031	314.0	0.24520	-0.00679
