DXEX v5
C:\Data\LDA\Skin_Friction_2017\Charlie_Z\20170815_CharlieZ.lda
16:38:59
2;400.0000 mm;0.0000 mm;-0.8000 mm
Region1
"AT [ms]"	"TT [us]"	"LDA1 [m/s]"	"LDA4 [m/s]"	
49.353	655.4	0.12020	0.00202
57.764	375.5	0.13851	0.00073
72.291	1119.6	0.12322	-0.00643
76.305	1652.1	0.11729	-0.00230
98.096	409.6	0.09347	0.00686
103.885	587.1	0.09533	0.00513
228.076	436.9	0.20966	-0.00117
244.214	539.3	0.17100	0.00106
270.019	1017.2	0.09118	0.02353
281.050	805.5	0.17630	-0.02738
313.955	566.6	0.08254	0.01350
345.631	873.8	0.15514	0.00319
366.438	682.7	0.22959	-0.00583
382.194	443.7	0.11686	0.00316
394.783	170.7	0.12453	0.00001
426.103	573.4	0.17080	0.00455
437.681	580.3	0.13695	0.00003
461.356	471.0	0.21737	-0.01481
471.760	505.2	0.16914	-0.02468
476.566	443.7	0.14260	0.03328
487.188	409.6	0.16173	0.00699
513.676	669.0	0.09424	-0.00102
556.711	771.4	0.12086	-0.00640
570.801	368.6	0.19976	-0.00160
591.664	471.0	0.25370	-0.00494
642.618	157.0	0.26579	0.01068
663.671	204.8	0.20823	-0.00675
664.245	307.2	0.26781	0.00049
670.444	518.8	0.22568	-0.00193
672.546	368.6	0.20202	0.00255
680.738	628.1	0.20373	0.00567
691.579	409.6	0.20915	-0.00083
747.257	621.2	0.13574	0.02234
755.722	559.8	0.14837	0.01557
765.443	416.4	0.19219	0.00902
777.376	300.4	0.30497	0.00316
801.106	355.0	0.39702	0.02743
807.741	327.7	0.31828	-0.02563
834.311	573.4	0.25655	-0.01440
841.793	293.5	0.29977	-0.00508
858.832	355.0	0.23841	0.00260
859.870	327.7	0.22132	0.00463
867.079	259.4	0.28438	-0.00964
870.110	382.3	0.23725	-0.00113
880.022	314.0	0.25635	0.00392
887.832	355.0	0.31323	-0.01135
898.208	314.0	0.30049	-0.00216
913.691	546.1	0.28314	-0.00011
931.768	355.0	0.20000	0.00787
940.370	273.1	0.29453	0.01441
947.907	395.9	0.19266	0.00548
969.615	416.4	0.14852	0.00477
978.490	348.2	0.19506	0.02433
1006.316	518.8	0.26380	-0.00947
1019.505	266.2	0.28771	-0.02669
1023.246	334.5	0.25563	-0.03051
1026.959	764.6	0.12716	0.02486
1029.335	655.4	0.11252	0.02225
1033.376	314.0	0.16836	0.00980
1040.777	348.2	0.34354	-0.00206
1044.381	307.2	0.35567	-0.00704
1051.071	580.3	0.23350	-0.00316
1069.285	341.3	0.32752	-0.00552
1071.524	409.6	0.29317	0.00378
1093.069	361.8	0.28644	0.00795
1110.791	252.6	0.32426	0.00656
1128.158	245.8	0.35544	-0.00618
1144.241	300.4	0.31482	0.00562
1151.805	218.5	0.31017	0.00090
1158.386	573.4	0.28908	0.00310
1195.059	382.3	0.16799	0.00930
1207.456	730.5	0.16029	0.00861
1228.182	327.7	0.26883	-0.00807
1249.318	791.9	0.14315	0.01477
1353.165	464.2	0.19221	0.00290
1372.716	170.7	0.10197	0.00828
1415.315	314.0	0.27309	0.00073
1416.844	573.4	0.08565	0.00548
1437.269	375.5	0.23840	-0.01527
1448.902	225.3	0.13361	0.01129
1457.149	457.4	0.28281	0.00319
1469.491	225.3	0.26617	0.00232
1480.550	273.1	0.23237	0.01672
1513.946	341.3	0.24659	-0.00128
1523.340	382.3	0.22279	0.00267
1527.873	689.5	0.22027	-0.00731
1550.865	546.1	0.15123	-0.00044
1570.253	177.5	0.32082	0.00742
1588.221	1174.2	0.06208	0.01300
1674.264	791.9	0.08221	0.00259
1680.817	860.2	0.18215	0.00137
1682.128	682.7	0.10184	0.00410
1715.005	225.3	0.21260	-0.01745
1718.173	812.4	0.23875	-0.00084
1734.912	532.5	0.25163	-0.00429
1735.813	662.2	0.15561	0.00765
1752.962	648.5	0.08107	-0.00259
1775.353	491.5	0.07519	0.00717
1778.630	860.2	0.16711	0.01358
1781.060	2211.8	0.05065	0.00699
1823.495	430.1	0.28856	0.00083
1829.311	279.9	0.30345	0.00583
1832.342	436.9	0.33938	-0.00715
1838.568	553.0	0.23784	0.01173
1864.864	307.2	0.34987	0.00046
1869.725	252.6	0.33460	-0.00036
1885.945	389.1	0.28987	-0.00423
1905.278	355.0	0.26245	0.00106
1923.273	382.3	0.25136	0.00432
1936.326	286.7	0.17068	-0.02638
